Ship,State,Description,Year
Cinque Ports,England,"The ship foundered in thePacific OceanoffMalpelo Island,Viceroyalty of Peru. Her crew survived.",Unknown date
Nuestra Señora del Rosario y Santiago Apostol,Spain,"The ship sank inPensacola Bay,Spanish Florida.[15]",Unknown date
Swan,Unknown,"Thebrigantinewas lost in the vicinity of ""Squan,"" a term used at the time for the coast ofNew JerseynearManasquanand sometimes for the 7-mile (11 km) stretch of coast betweenManasquan InletandCranberry Inletor for the entire coast of New Jersey betweenSea GirtandBarnegat Inlet.[16]",Unknown date
Major,England,Thepinkwas wrecked nearCardigan.[13],October
HMSHazardous,Royal Navy,"Thefourth rateran aground and sank atBracklesham Bay,Sussex.[17]",November
HMSAssociation,Royal Navy,"Scilly naval disaster of 1707: Thesecond rateship of the linestruck the Outer Gilstone Rock, off theIsles of Scillyand sank with the loss of all hands, approximately 800 men.",October
HMSEagle,Royal Navy,Scilly naval disaster of 1707: Thethird rateship of the linewas wrecked off the Isles of Scilly with the loss of all hands.,October
HMSFirebrand,Royal Navy,"Scilly naval disaster of 1707: Thefireshipstruck the Outer Gilstone Rock and consequently foundered in Smith Soud, off the Isles of Scilly with the loss of 28 of her 40 crew.",October
HMSRomney,Royal Navy,"Scilly naval disaster of 1707: Thefourth rateship of the linestruck theBishop Rock, Isles of Scilly, and foundered with the loss of all but one of her crew.",October
HMSSt George,Royal Navy,"Scilly naval disaster of 1707: Thefirst rateship of the linestruck rocks off the Isles of Scilly. She was refloated, repaired and returned to service.",October
Norske Løve,Danish East India Company,"TheEast Indiamansank inLambavík,Faroe Islands. About 100 crew survived.",December
Unnamed ship,Dunkerque,"Theprivateerwas wrecked on theGoodwin Sands,Kent,Great Britain, with the loss of all 60 crew.[1]",December
Samuel,England,The ship was wrecked nearCardigan.[13],January
Concepción,Spain,"War of the Spanish Succession,Wager's Action): The ship ran aground on theIsla de Baru. She was set afire and destroyed to prevent her capture by the British.",June
San José,Spanish Navy,"War of the Spanish Succession,Wager's Action): Thegalleonexploded and sank off the Isla de Baru during battle withHMSExpedition(Royal Navy) with the loss of all but eleven of the 600 people on board.",June
